id,questionText,difficulty,type,options,correctAnswerIndex
e51,What is the tone of a piece of writing?,medium,english,"[""The main idea"", ""The author's attitude"", ""The sentence structure"", ""The word choice""]",1
e52,Which sentence uses correct punctuation for a direct quote?,medium,english,"[""She said, I love books."", ""She said, 'I love books.'"", ""'She said I love books.'"", ""She said I love books.""]",1
e53,"What is the meaning of the suffix ""-less""?",medium,english,"[""Full of"", ""Without"", ""Before"", ""After""]",1
e54,"Which word is a participle in: ""The broken vase was on the floor.""?",medium,english,"[""Vase"", ""Broken"", ""Floor"", ""Was""]",1
e55,"What is the correct form of the pronoun in: ""This book belongs to ___.""?",medium,english,"[""Me"", ""I"", ""Myself"", ""Mine""]",0
e56,Which sentence avoids a dangling modifier?,medium,english,"[""Running fast, the finish line was crossed."", ""Running fast, she crossed the finish line."", ""The finish line was crossed, running fast."", ""She crossed, running fast.""]",1
e57,"What is a synonym for ""persistent""?",medium,english,"[""Temporary"", ""Determined"", ""Weak"", ""Uncertain""]",1
e58,Which sentence is in the subjunctive mood?,medium,english,"[""I wish I were taller."", ""I am taller."", ""I was taller."", ""I will be taller.""]",0
e59,"What is the meaning of the word ""ephemeral""?",medium,english,"[""Lasting"", ""Brief"", ""Permanent"", ""Stable""]",1
e60,Which sentence uses a semicolon correctly?,medium,english,"[""I have two cats; and a dog."", ""I have two cats; I also have a dog."", ""I have two cats, I also have a dog."", ""I have two cats I also have a dog.""]",1
e61,"What is the literary device in: ""The wind whispered through the trees.""?",hard,english,"[""Metaphor"", ""Personification"", ""Simile"", ""Alliteration""]",1
e62,"What is the meaning of the word ""ubiquitous""?",hard,english,"[""Rare"", ""Everywhere"", ""Hidden"", ""Unique""]",1
e63,Which sentence contains a paradox?,hard,english,"[""Less is more."", ""The sky is blue."", ""I love to read books."", ""The sun rises slowly.""]",0
e64,What is the rhyme scheme of a Shakespearean sonnet?,hard,english,"[""ABAB BCBC CDCD EE"", ""ABAB CDCD EFEF GG"", ""AABB CCDD EEFF GG"", ""ABBA CDDC EFFE GG""]",1
e65,What is the term for a reference to another work of literature?,hard,english,"[""Allusion"", ""Metaphor"", ""Symbol"", ""Irony""]",0
e66,Which sentence uses an oxymoron?,hard,english,"[""The silence was deafening."", ""The room was quiet."", ""The music was loud."", ""The day was sunny.""]",0
e67,"What is the meaning of the word ""cacophony""?",hard,english,"[""Harmony"", ""Harsh sound"", ""Silence"", ""Melody""]",1
e68,"Who wrote the novel ""Pride and Prejudice""?",hard,english,"[""Charles Dickens"", ""Jane Austen"", ""Emily Bront"", ""George Eliot""]",1
e69,What is the literary term for the emotional atmosphere of a work?,hard,english,"[""Theme"", ""Tone"", ""Mood"", ""Plot""]",2
e70,Which sentence contains dramatic irony?,hard,english,"[""He knew the secret, but she did not."", ""She spoke loudly to the crowd."", ""They both enjoyed the movie."", ""The sun set slowly.""]",0
e71,"What is the meaning of the word ""anachronism""?",hard,english,"[""Something out of time"", ""Something modern"", ""Something ancient"", ""Something permanent""]",0
e72,Which poetic form has 14 lines and a volta?,hard,english,"[""Haiku"", ""Sonnet"", ""Limerick"", ""Ode""]",1
e73,What is the term for a play on words?,hard,english,"[""Pun"", ""Metaphor"", ""Simile"", ""Alliteration""]",0
e74,"Which author wrote ""The Great Gatsby""?",hard,english,"[""F. Scott Fitzgerald"", ""Ernest Hemingway"", ""William Faulkner"", ""John Steinbeck""]",0
e75,"What is the meaning of the word ""euphemism""?",hard,english,"[""Harsh word"", ""Polite substitute"", ""Direct term"", ""Technical term""]",1
e76,Which sentence contains a synecdoche?,hard,english,"[""All hands on deck."", ""The ship sailed smoothly."", ""The sea was calm."", ""The sailors worked hard.""]",0
e77,What is the term for the repetition of initial consonant sounds?,hard,english,"[""Assonance"", ""Alliteration"", ""Consonance"", ""Rhyme""]",1
e78,Which work is a dystopian novel by George Orwell?,hard,english,"[""1984"", ""Brave New World"", ""The Handmaid's Tale"", ""Fahrenheit 451""]",0
e79,"What is the meaning of the word ""juxtaposition""?",hard,english,"[""Similarity"", ""Contrast"", ""Repetition"", ""Exaggeration""]",1
e80,Which sentence contains verbal irony?,hard,english,"[""'What a beautiful day!', said during a storm."", ""It's a sunny day."", ""I love the rain."", ""The day is warm.""]",0
e81,What is the term for a long narrative poem?,hard,english,"[""Sonnet"", ""Epic"", ""Limerick"", ""Haiku""]",1
e82,"Who wrote the play ""Romeo and Juliet""?",hard,english,"[""William Shakespeare"", ""Christopher Marlowe"", ""Ben Jonson"", ""John Milton""]",0
e83,"What is the meaning of the word ""hyperbole""?",hard,english,"[""Understatement"", ""Exaggeration"", ""Comparison"", ""Repetition""]",1
e84,Which sentence uses a metaphor?,hard,english,"[""Her eyes were stars."", ""Her eyes twinkled like stars."", ""Her eyes were bright."", ""Her eyes shone brightly.""]",0
e85,What is the term for the main character's opponent in a story?,hard,english,"[""Protagonist"", ""Antagonist"", ""Narrator"", ""Foil""]",1
e86,"Which novel begins with the line: ""It was the best of times, it was the worst of times""?",hard,english,"[""A Tale of Two Cities"", ""Great Expectations"", ""Oliver Twist"", ""David Copperfield""]",0
e87,"What is the meaning of the word ""litotes""?",hard,english,"[""Exaggeration"", ""Understatement"", ""Comparison"", ""Repetition""]",1
e88,Which literary movement is associated with authors like Wordsworth and Coleridge?,hard,english,"[""Modernism"", ""Romanticism"", ""Realism"", ""Naturalism""]",1
e89,What is the term for a character who undergoes significant change?,hard,english,"[""Static character"", ""Dynamic character"", ""Flat character"", ""Round character""]",1
e90,Which sentence contains an allusion?,hard,english,"[""He was a Romeo with the ladies."", ""He loved to read books."", ""He ran very fast."", ""He was tall and strong.""]",0
