id,questionText,difficulty,type,options,correctAnswerIndex
g71,What is the significance of the Pantone Matching System?,hard,graphics,"[""Standardizes colors"", ""Edits images"", ""Creates fonts"", ""Manages layouts""]",0
g72,"Which designer created the iconic ""I Love NY"" logo?",hard,graphics,"[""Milton Glaser"", ""Saul Bass"", ""Paul Rand"", ""Massimo Vignelli""]",0
g73,What is the term for a design that prioritizes function over form?,hard,graphics,"[""Minimalism"", ""Functionalism"", ""Abstract"", ""Surrealism""]",1
g74,Which file format is best for scalable logos?,hard,graphics,"[""JPEG"", ""PNG"", ""SVG"", ""GIF""]",2
g75,What is the purpose of a design system?,hard,graphics,"[""Create animations"", ""Standardize design components"", ""Edit photos"", ""Manage fonts""]",1
g76,Which Photoshop tool adjusts specific color ranges?,hard,graphics,"[""Hue/Saturation"", ""Curves"", ""Levels"", ""Gradient""]",0
g77,What is the term for a design inspired by organic shapes?,hard,graphics,"[""Geometric"", ""Biomorphic"", ""Abstract"", ""Minimalist""]",1
g78,Which design movement used bold colors and geometric shapes?,hard,graphics,"[""Art Deco"", ""Rococo"", ""Impressionism"", ""Cubism""]",0
g79,What is the purpose of a smart object in Photoshop?,hard,graphics,"[""Add text"", ""Preserve original data"", ""Change colors"", ""Create animations""]",1
g80,Which principle ensures a design is easy to navigate?,hard,graphics,"[""Usability"", ""Contrast"", ""Balance"", ""Proximity""]",0
g81,What is the term for a typefaceƒ??s thickness variation?,hard,graphics,"[""Weight"", ""Style"", ""Kerning"", ""Leading""]",0
g82,Which designer is known for the Apple logo?,hard,graphics,"[""Rob Janoff"", ""Paul Rand"", ""Saul Bass"", ""Milton Glaser""]",0
g83,What is the purpose of a gradient map in Photoshop?,hard,graphics,"[""Adjust lighting"", ""Map colors to tones"", ""Create shapes"", ""Add text""]",1
g84,Which color scheme uses four colors in a rectangle on the color wheel?,hard,graphics,"[""Monochromatic"", ""Complementary"", ""Tetradic"", ""Analogous""]",2
g85,What is the term for a design that conveys a message without words?,hard,graphics,"[""Iconography"", ""Typography"", ""Layout"", ""Composition""]",0
g86,Which design software supports 3D modeling?,hard,graphics,"[""Photoshop"", ""Illustrator"", ""Blender"", ""InDesign""]",2
g87,What is the purpose of a design critique?,hard,graphics,"[""Edit images"", ""Provide feedback"", ""Create animations"", ""Manage fonts""]",1
g88,Which design principle emphasizes user experience?,hard,graphics,"[""Aesthetics"", ""Functionality"", ""Contrast"", ""Balance""]",1
g89,What is the term for a design that uses minimal elements?,hard,graphics,"[""Minimalism"", ""Surrealism"", ""Abstract"", ""Functionalism""]",0
g90,Which color theory concept explains color temperature?,hard,graphics,"[""Warm and cool colors"", ""Complementary colors"", ""Monochromatic colors"", ""Triadic colors""]",0
