id,questionText,difficulty,type,options,correctAnswerIndex
cq46,Which algorithm is used for shortest path in graphs?,medium,computer,"[""Kruskal’s"", ""Bellman-Ford"", ""Prim’s"", ""DFS""]",1
cq47,What is the purpose of a load balancer?,medium,computer,"[""Store data"", ""Distribute network traffic"", ""Encrypt data"", ""Run applications""]",1
cq48,Which of these is a design pattern?,medium,computer,"[""Singleton"", ""Waterfall"", ""Agile"", ""Scrum""]",0
cq49,What is a subnet mask used for?,medium,computer,"[""Encrypt data"", ""Divide networks"", ""Speed up connections"", ""Store IPs""]",1
cq50,Which of these is a type of cyberattack?,medium,computer,"[""SQL Injection"", ""Data Sorting"", ""File Compression"", ""Code Compilation""]",0
cq51,What is the purpose of a JWT?,medium,computer,"[""Store files"", ""Secure data exchange"", ""Run code"", ""Compress data""]",1
cq52,Which data structure is used in breadth-first search?,medium,computer,"[""Stack"", ""Queue"", ""Heap"", ""Tree""]",1
cq53,What is a microservice architecture?,medium,computer,"[""A single app"", ""Small independent services"", ""A large database"", ""A hardware system""]",1
cq54,Which of these is a container orchestration tool?,medium,computer,"[""Docker"", ""Kubernetes"", ""Apache"", ""Nginx""]",1
cq55,What is the purpose of a hash function?,medium,computer,"[""Sort data"", ""Map data to fixed-size values"", ""Run code"", ""Store files""]",1
cq56,Which of these is a relational database operation?,medium,computer,"[""JOIN"", ""DELETE"", ""UPDATE"", ""All of the above""]",3
cq57,What is a race condition in programming?,medium,computer,"[""A fast thread"", ""Unpredictable behavior due to timing"", ""A secure process"", ""A sorted list""]",1
cq58,Which protocol is used for email sending?,medium,computer,"[""IMAP"", ""POP3"", ""SMTP"", ""HTTP""]",2
cq59,What is the purpose of a reverse proxy?,medium,computer,"[""Store data"", ""Route client requests to servers"", ""Run code"", ""Encrypt files""]",1
cq60,Which of these is a functional programming language?,medium,computer,"[""Java"", ""C++"", ""Haskell"", ""Python""]",2
cq61,Which data structure uses the FIFO (First In First Out) principle?,hard,computer,"[""Stack"",""Queue"",""Heap"",""Graph""]",1
cq62,Which algorithm solves the knapsack problem?,hard,computer,"[""Dijkstra’s"", ""Greedy"", ""Dynamic Programming"", ""Kruskal’s""]",2
cq63,What is a buffer overflow attack?,hard,computer,"[""Data compression"", ""Overwriting memory"", ""File encryption"", ""Network routing""]",1
cq64,Which of these is a post-quantum cryptography algorithm?,hard,computer,"[""RSA"", ""AES"", ""Lattice-based"", ""MD5""]",2
cq65,What is the CAP theorem in distributed systems?,hard,computer,"[""All systems are secure"", ""Only two of consistency, availability, partition tolerance"", ""All systems are fast"", ""Data is always encrypted""]",1
cq66,Which data structure is used in red-black trees?,hard,computer,"[""Array"", ""Linked List"", ""Binary Search Tree"", ""Queue""]",2
cq67,What is a zero-day exploit?,hard,computer,"[""A patched vulnerability"", ""An unknown vulnerability"", ""A fast attack"", ""A secure protocol""]",1
cq68,Which algorithm is used for minimum spanning trees?,hard,computer,"[""Dijkstra’s"", ""Prim’s"", ""Bellman-Ford"", ""Floyd-Warshall""]",1
cq69,What is eventual consistency in databases?,hard,computer,"[""Immediate updates"", ""Delayed updates"", ""Encrypted data"", ""Sorted data""]",1
cq70,Which of these is a homomorphic encryption technique?,hard,computer,"[""RSA"", ""AES"", ""Paillier"", ""MD5""]",2
cq71,What is a side-channel attack?,hard,computer,"[""Direct hacking"", ""Exploiting physical implementation"", ""Data sorting"", ""File compression""]",1
cq72,Which protocol used in blockchain consensus?,hard,computer,"[""HTTP"", ""Proof of Work"", ""SMTP"", ""FTP""]",1
cq73,What is a CRDT in distributed systems?,hard,computer,"[""A secure protocol"", ""A conflict-free data type"", ""A fast algorithm"", ""A storage device""]",1
cq74,Which of these is a graph traversal algorithm?,hard,computer,"[""Quick Sort"", ""Bubble Sort"", ""DFS"", ""Merge Sort""]",2
cq75,What is a man-in-the-middle attack?,hard,computer,"[""Data compression"", ""Intercepting communication"", ""File sorting"", ""Code compilation""]",1
cq76,Which of these is a quantum computing gate?,hard,computer,"[""AND gate"", ""OR gate"", ""Hadamard gate"", ""NAND gate""]",2
cq77,What is a Byzantine fault in distributed systems?,hard,computer,"[""A hardware failure"", ""A malicious node"", ""A fast process"", ""A sorted list""]",1
cq78,Which algorithm is used for string matching?,hard,computer,"[""KMP"", ""Dijkstra’s"", ""Prim’s"", ""Kruskal’s""]",0
cq79,What is a secure multiparty computation?,hard,computer,"[""Joint computation with private inputs"", ""Data sorting"", ""File compression"", ""Network routing""]",0
cq80,Which of these is a formal verification method?,hard,computer,"[""Unit testing"", ""Model checking"", ""Integration testing"", ""Stress testing""]",1
cq81,What is a differential privacy technique?,hard,computer,"[""Data encryption"", ""Adding noise to data"", ""Data sorting"", ""File compression""]",1
cq82,Which of these is a distributed ledger technology?,hard,computer,"[""SQL"", ""Blockchain"", ""Apache"", ""Nginx""]",1
cq83,What is a cache coherence problem?,hard,computer,"[""Slow internet"", ""Inconsistent cache data"", ""File encryption"", ""Network routing""]",1
cq84,Which algorithm is used for network flow optimization?,hard,computer,"[""Ford-Fulkerson"", ""Dijkstra’s"", ""Prim’s"", ""Kruskal’s""]",0
cq85,What is a trusted execution environment?,hard,computer,"[""A secure hardware area"", ""A fast processor"", ""A large database"", ""A sorted list""]",0
cq86,Which of these is a machine learning optimization algorithm?,hard,computer,"[""Gradient Descent"", ""Dijkstra’s"", ""Prim’s"", ""Kruskal’s""]",0
cq87,What is a replay attack in cybersecurity?,hard,computer,"[""Data compression"", ""Reusing captured data"", ""File sorting"", ""Code compilation""]",1
cq88,Which of these is a type of neural network?,hard,computer,"[""Convolutional"", ""Quick Sort"", ""Bubble Sort"", ""Merge Sort""]",0
cq89,What is a sharding technique in databases?,hard,computer,"[""Data encryption"", ""Partitioning data"", ""File compression"", ""Network routing""]",1
cq90,Which of these is a formal language theory concept?,hard,computer,"[""Finite Automata"", ""Quick Sort"", ""Bubble Sort"", ""Merge Sort""]",0
